symbol,window,n_trades,win_rate,net_expectancy_r,ci_low,ci_high,t_stat,significant,total_net_r,max_dd_r
gold,10,796,0.3957286432160804,0.06679199654334655,-0.026597068834904827,0.16018106192159792,1.4017948749645197,False,53.16642924850386,20.432378185400715
gold,15,700,0.38142857142857145,0.03642416529600231,-0.06288378717355997,0.13573211776556457,0.7188886912359396,False,25.496915707201616,23.11364710000409
gold,20,614,0.38599348534201955,0.05376706962955656,-0.05230595442663971,0.15984009368575283,0.9934991239440851,False,33.012980752547726,23.528266705532232
gold,30,512,0.38671875,0.03287899382847742,-0.08163369759640766,0.1473916852533625,0.5627570804768587,False,16.83404484018044,24.93067161882876
gold,40,450,0.3933333333333333,0.052578003594237636,-0.07079517299930163,0.17595118018777692,0.8352941043596536,False,23.660101617406937,21.208535380132645
gold,50,394,0.4086294416243655,0.10248684890345997,-0.03132606113760775,0.23629975894452768,1.5011572783906457,False,40.379818467963226,19.890143202428874
usdjpy,10,1006,0.3836978131212724,0.0040291288829222794,-0.07668725778229814,0.0847455155481427,0.09783753877984748,False,4.053303656219813,32.90376088757822
usdjpy,15,885,0.392090395480226,0.02165623742185905,-0.06438454695219936,0.10769702179591745,0.49332680606804674,False,19.165770118345257,24.48423611233515
usdjpy,20,787,0.38246505717916135,0.022515075215674002,-0.06907878295369607,0.11410893338504408,0.4817959228349048,False,17.71936419473544,36.308195728092386
usdjpy,30,648,0.3734567901234568,-0.004449311298751844,-0.10516949620884,0.09627087361133632,-0.0865829441570073,False,-2.883153721591195,38.12311292879891
usdjpy,40,549,0.37340619307832423,-0.014857623750833162,-0.12332312333805465,0.09360787583638833,-0.268481154491117,False,-8.156835439207406,42.05707471193556
usdjpy,50,482,0.37136929460580914,-0.01579112364027328,-0.13189538792614813,0.10031314064560157,-0.2665759309126517,False,-7.61132159461172,35.238347268230676
